"filename", "language", "JSON", "Rust", "Markdown", "TOML", "comment", "blank", "total"
"c:\Users\licht\OneDrive\Dokumentumok\rust_learning\rust_learning\dbms\target\debug\.fingerprint\dbms-86fb62bb0019fd58\test-lib-dbms.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\licht\OneDrive\Dokumentumok\rust_learning\rust_learning\dbms\target\debug\.fingerprint\dbms-8d04f1a7b564e634\bin-dbms.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\licht\OneDrive\Dokumentumok\rust_learning\rust_learning\dbms\target\debug\.fingerprint\dbms-9e47b7611965c24a\test-bin-dbms.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\licht\OneDrive\Dokumentumok\rust_learning\rust_learning\dbms\target\debug\.fingerprint\dbms-a8de09c7b4e6171b\test-bin-dbms.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\licht\OneDrive\Dokumentumok\rust_learning\rust_learning\dbms\target\debug\.fingerprint\dbms-b13023237217514d\test-lib-dbms.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\licht\OneDrive\Dokumentumok\rust_learning\rust_learning\dbms\target\debug\.fingerprint\dbms-c5347ff741cbeb43\bin-dbms.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\licht\OneDrive\Dokumentumok\rust_learning\rust_learning\dbms\target\debug\.fingerprint\dbms-c908797cd095be4f\test-lib-dbms.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\licht\OneDrive\Dokumentumok\rust_learning\rust_learning\dbms\target\debug\.fingerprint\dbms-d7e5d1156438ee54\lib-dbms.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\licht\OneDrive\Dokumentumok\rust_learning\rust_learning\dbms\target\debug\.fingerprint\dbms-edc2f3c23440eaf8\test-lib-dbms.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\licht\OneDrive\Dokumentumok\rust_learning\rust_learning\dbms\target\debug\.fingerprint\memchr-c2c471bfe782be8b\lib-memchr.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\licht\OneDrive\Dokumentumok\rust_learning\rust_learning\dbms\target\debug\.fingerprint\memchr-f7617b312c3c8ac4\lib-memchr.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\licht\OneDrive\Dokumentumok\rust_learning\rust_learning\dbms\target\debug\.fingerprint\regex-03c263a527171006\lib-regex.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\licht\OneDrive\Dokumentumok\rust_learning\rust_learning\dbms\target\debug\.fingerprint\regex-718fa749abadfbef\lib-regex.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\licht\OneDrive\Dokumentumok\rust_learning\rust_learning\dbms\target\debug\.fingerprint\regex-automata-17774fcfba4551ce\lib-regex-automata.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\licht\OneDrive\Dokumentumok\rust_learning\rust_learning\dbms\target\debug\.fingerprint\regex-automata-a1e448695604ad49\lib-regex-automata.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\licht\OneDrive\Dokumentumok\rust_learning\rust_learning\dbms\target\debug\.fingerprint\regex-syntax-0c1524f5a3a71929\lib-regex-syntax.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\licht\OneDrive\Dokumentumok\rust_learning\rust_learning\dbms\target\debug\.fingerprint\regex-syntax-f5baa12cf1cc0597\lib-regex-syntax.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"Total", "-", 26, 1246, 358, 52, 7, 281, 1970
